word_1,word_2,n
رضی,اللّه,435
اللّه,عنه,356
اللّه,علیه,279
علیه,السّلام,277
اندر,جهان,265
نگه,کرد,243
شاه,جهان,213
شب,تیره,213
خداوند,تعالی,195
نزدیک,شاه,189
دل,پر,180
آفرین,کرد,169
کسی,کو,166
رحمة,اللّه,161
اندر,میان,153
شاه,ایران,141
کرد,یاد,129
یاد,کرد,125
جهان,آفرین,122
همی,کرد,120
گزین,کرد,111
تخت,عاج,110
ایران,سپاه,108
ایران,زمین,105
اندر,دل,102
اندر,زمان,101
دل,شاه,98
بدین,سان,95
کام,دل,94
خاقان,چین,92
وزان,جایگه,90
توران,سپاه,89
گیتی,فروز,87
گرز,گران,86
گردان,سپهر,82
بدین,کار,81
پیغمبر,علیه,80
کرد,آفرین,79
شیر,ژیان,78
کای,شهریار,78
دگر,آنک,77
گردش,روزگار,77
زین,سخن,75
همی,گشت,75
شهر,ایران,74
شهریار,جهان,73
غمی,گشت,73
مر,ترا,73
همی,تاخت,73
سخن,گفتن,71
بگفت,آنچ,70
جهان,پهلوان,70
خون,ریختن,70
پر,آب,70
یزدان,پاک,70
سپاه,اندر,69
علی,بن,69
خدای,عزّ,68
همی,راند,68
خورشید,تابان,67
چرخ,گردان,67
خون,دل,66
سخن,هرچ,66
سرای,سپنج,66
سرو,سهی,66
چرخ,بلند,65
باد,سرد,64
تخت,زرین,64
دل,اندر,64
علیه,السلام,64
تخت,شاهی,63
خروشی,برآمد,63
خواندند,آفرین,62
صلی,اللّه,62
کای,شاه,62
قوله,تعالی,61
دلش,گشت,60
روا,نباشد,60
زان,سخن,60
اندر,نهفت,58
درگاه,شاه,58
همی,ریخت,58
واللّه,اعلم,58
بردش,نماز,57
درد,دل,57
شاء,اللّه,57
لشکر,براند,57
پیل,مست,57
کردگار,جهان,57
آفرین,خواندند,56
تیره,شب,56
پر,درد,56
آب,روان,55
اندر,گذشت,55
خاک,اندر,55
نامه,بنوشت,55
گفتار,اوی,55
برآمد,خروش,54
بیدار,دل,53
صلّی,اللّه,53
کاووس,شاه,53
گوهر,شاهوار,53
سخن,گوی,52
پهلوان,سپاه,52
فرستاد,نزدیک,51
میان,سپاه,51
گذر,کرد,51
اللّه,عنهم,50
اندر,کشید,50
توران,زمین,50
خدای,تعالی,50
کند,همی,50
برآمد,برین,49
جهاندار,شاه,49
دل,مرد,49
فرمان,شاه,49
لقوله,تعالی,49
نره,شیر,49
کس,اندر,49
اندر,کنار,48
پذیره,شدش,48
گو,پیلتن,48
بدین,رزمگاه,47
تیره,خاک,47
زرین,کمر,47
همی,جست,47
اندر,شگفت,46
بشنید,گفتار,46
تیغ,هندی,46
دلی,پر,46
فرمان,یزدان,46
نوشین,روان,46
کار,جهان,46
آتش,اندر,45
آوای,کوس,45
افگند,بن,45
اندر,آرد,45
بدو,اندرون,45
دشت,نبرد,45
سپاهی,گران,45
تنگ,اندر,44
زرین,ستام,44
نامور,شهریار,44
پرده,سرای,44
اندر,محل,43
بهرام,گور,43
دستان,سام,43
رای,زن,43
زین,جهان,43
پاک,یزدان,43
پر,اندیشه,43
کز,ایران,43
گرد,سپاه,43
گردن,فراز,43
اندر,خور,42
برفتند,گردان,42
بیامد,دمان,42
یزدان,پرست,42
اندر,آرم,41
بباید,گریست,41
تیره,گشت,41
ساوه,شاه,41
همی,گرد,41
پر,خون,41
ژنده,پیل,41
تیغ,کوه,40
دلش,پر,40
سپهر,بلند,40
شاه,آمدند,40
شهریار,زمین,40
نزدیک,اوی,40
نیکی,دهش,40
آفرین,خواند,39
تیغ,تیز,39
جهان,پر,39
رحمةاللّه,علیه,39
زان,کار,39
شاه,اردشیر,39
مرد,دانا,39
چشم,دل,39
کاویانی,درفش,39
بسی,آفرین,38
تخت,زر,38
همی,خواند,38
ابر,اندر,37
اللّه,تعالی,37
اللّه,علیهم,37
تخت,مهی,37
شب,همی,37
فرو,ریخت,37
اندر,افگند,36
بزرگان,ایران,35
بیاورد,لشکر,35
بیژن,گیو,35
خدای,جهان,35
دینار,وز,35
زبان,برگشاد,35
ساز,جنگ,35
شاه,ترکان,35
مرد,جوان,35
نکرد,ایچ,35
