date,province,infected,day
2020-03-06,آذربایجان غربی,11,6
2020-03-06,اردبیل,40,6
2020-03-06,اصفهان,388,6
2020-03-06,البرز,302,6
2020-03-06,ایلام,13,6
2020-03-06,بوشهر,5,6
2020-03-06,تهران,1413,6
2020-03-06,خراسان جنوبی,18,6
2020-03-06,خراسان رضوی,89,6
2020-03-06,خراسان شمالی,15,6
2020-03-06,خوزستان,63,6
2020-03-06,زنجان,50,6
2020-03-06,سمنان,114,6
2020-03-06,سیستان و بلوچستان,21,6
2020-03-06,فارس,81,6
2020-03-06,قزوین,176,6
2020-03-06,قم,523,6
2020-03-06,لرستان,80,6
2020-03-06,مازندران,301,6
2020-03-06,مرکزی,228,6
2020-03-06,هرمزگان,19,6
2020-03-06,همدان,23,6
2020-03-06,چهارمحال و بختیاری,14,6
2020-03-06,کردستان,42,6
2020-03-06,کرمان,25,6
2020-03-06,کرمانشاه,27,6
2020-03-06,کهگیلویه و بویراحمد,6,6
2020-03-06,گلستان,104,6
2020-03-06,گیلان,424,6
2020-03-06,یزد,57,6
2020-03-07,آذربایجان غربی,33,7
2020-03-07,اردبیل,41,7
2020-03-07,اصفهان,484,7
2020-03-07,البرز,305,7
2020-03-07,ایلام,15,7
2020-03-07,بوشهر,8,7
2020-03-07,تهران,1539,7
2020-03-07,خراسان جنوبی,18,7
2020-03-07,خراسان رضوی,135,7
2020-03-07,خراسان شمالی,23,7
2020-03-07,خوزستان,64,7
2020-03-07,زنجان,52,7
2020-03-07,سمنان,138,7
2020-03-07,سیستان و بلوچستان,34,7
2020-03-07,فارس,95,7
2020-03-07,قزوین,178,7
2020-03-07,قم,668,7
2020-03-07,لرستان,107,7
2020-03-07,مازندران,606,7
2020-03-07,مرکزی,265,7
2020-03-07,هرمزگان,30,7
2020-03-07,همدان,34,7
2020-03-07,چهارمحال و بختیاری,16,7
2020-03-07,کردستان,44,7
2020-03-07,کرمان,40,7
2020-03-07,کرمانشاه,31,7
2020-03-07,کهگیلویه و بویراحمد,6,7
2020-03-07,گلستان,162,7
2020-03-07,گیلان,494,7
2020-03-07,یزد,81,7
2020-03-08,آذربایجان غربی,40,8
2020-03-08,اردبیل,50,8
2020-03-08,اصفهان,564,8
2020-03-08,البرز,307,8
2020-03-08,ایلام,15,8
2020-03-08,بوشهر,10,8
2020-03-08,تهران,1805,8
2020-03-08,خراسان جنوبی,44,8
2020-03-08,خراسان رضوی,154,8
2020-03-08,خراسان شمالی,24,8
2020-03-08,خوزستان,69,8
2020-03-08,زنجان,53,8
2020-03-08,سمنان,175,8
2020-03-08,سیستان و بلوچستان,34,8
2020-03-08,فارس,104,8
2020-03-08,قزوین,207,8
2020-03-08,قم,685,8
2020-03-08,لرستان,144,8
2020-03-08,مازندران,620,8
2020-03-08,مرکزی,335,8
2020-03-08,هرمزگان,35,8
2020-03-08,همدان,60,8
2020-03-08,چهارمحال و بختیاری,21,8
2020-03-08,کردستان,63,8
2020-03-08,کرمان,41,8
2020-03-08,کرمانشاه,33,8
2020-03-08,کهگیلویه و بویراحمد,9,8
2020-03-08,گلستان,175,8
2020-03-08,گیلان,496,8
2020-03-08,یزد,87,8
2020-03-09,آذربایجان غربی,0,9
2020-03-09,اردبیل,0,9
2020-03-09,اصفهان,601,9
2020-03-09,البرز,307,9
2020-03-09,ایلام,0,9
2020-03-09,بوشهر,0,9
2020-03-09,تهران,1945,9
2020-03-09,خراسان جنوبی,0,9
2020-03-09,خراسان رضوی,183,9
2020-03-09,خراسان شمالی,0,9
2020-03-09,خوزستان,73,9
2020-03-09,زنجان,0,9
2020-03-09,سمنان,220,9
2020-03-09,سیستان و بلوچستان,0,9
2020-03-09,فارس,133,9
2020-03-09,قزوین,247,9
