province,candidate,mean_percentage_votes,share_votes,candidate_name_fa,row,col,code,name_farsi
Ardabil,ahmadinejad,55.57773054370597,55,احمدی نژاد,1,4,AR,اردبیل
Ardabil,karrubi,0.44014338919462104,0,کروبی,1,4,AR,اردبیل
Ardabil,mousavi,42.683532197912896,42,موسوی,1,4,AR,اردبیل
Ardabil,rezai,0.6908515351725987,0,رضائی,1,4,AR,اردبیل
Ardabil,voided_votes,0.6077423340139176,0,آرای باطله,1,4,AR,اردبیل
Bushehr,ahmadinejad,63.11709681556409,63,احمدی نژاد,7,4,BS,بوشهر
Bushehr,karrubi,0.6494140202448924,0,کروبی,7,4,BS,بوشهر
Bushehr,mousavi,33.627012234035796,33,موسوی,7,4,BS,بوشهر
Bushehr,rezai,1.564253234251447,1,رضائی,7,4,BS,بوشهر
Bushehr,voided_votes,1.0422236959037718,1,آرای باطله,7,4,BS,بوشهر
Chaharmahal and Bakhtiari,ahmadinejad,72.26552595148071,72,احمدی نژاد,5,4,CM,چهارمحال و بختیاری
Chaharmahal and Bakhtiari,karrubi,0.5845640337295661,0,کروبی,5,4,CM,چهارمحال و بختیاری
Chaharmahal and Bakhtiari,mousavi,19.415078937830366,19,موسوی,5,4,CM,چهارمحال و بختیاری
Chaharmahal and Bakhtiari,rezai,7.18211337415334,7,رضائی,5,4,CM,چهارمحال و بختیاری
Chaharmahal and Bakhtiari,voided_votes,0.5527177028060208,0,آرای باطله,5,4,CM,چهارمحال و بختیاری
East Azerbijan,ahmadinejad,61.53336904719841,61,احمدی نژاد,1,3,EA,آذربایجان شرقی
East Azerbijan,karrubi,0.34084971047081997,0,کروبی,1,3,EA,آذربایجان شرقی
East Azerbijan,mousavi,36.689279635735524,36,موسوی,1,3,EA,آذربایجان شرقی
East Azerbijan,rezai,0.6115414052401836,0,رضائی,1,3,EA,آذربایجان شرقی
East Azerbijan,voided_votes,0.8249602013550568,0,آرای باطله,1,3,EA,آذربایجان شرقی
Esfahan,ahmadinejad,73.99295276636073,73,احمدی نژاد,5,5,ES,اصفهان
