character_1,character_2,relationship
رستم,زال زر,فرزند
دختر کید,کید,فرزند
همای بهمن,بهمن اسفندیار,فرزند
به آفرید,گشتاسپ,فرزند
تهمینه,شاه سمنگان,فرزند
همای اسفندیار,گشتاسپ,فرزند
فرنگیس,افراسیاب تورانی,فرزند
ماه آفرید(دخترتور),تور,فرزند
مالکه,نوشه,فرزند
مالکه,طایر,فرزند
اسفندیار,کتایون,فرزند
نوشه,نرسی بهرام,فرزند
منیژه,افراسیاب تورانی,فرزند
ناهید,فیلقوس,فرزند
روشنک,دارای داراب,فرزند
شنبلید (دختر برزین),برزین دهقان,فرزند
ماه آفرید (دختر برزین),برزین دهقان,فرزند
رودابه,مهراب,فرزند
کودک کفشگر,مادر کودک کفشگر,فرزند
آرزو,سرو شاه یمن,فرزند
آزاده خوی,سرو شاه یمن,فرزند
سهی,سرو شاه یمن,فرزند
دختر خاقان (نوشین روان),خاقان (انوشیروان),فرزند
سهراب,رستم,فرزند
اسماعیل,ابراهیم پیامبر,فرزند
رستم,رودابه,فرزند
فریدون,آبتین,فرزند
سلم,فریدون,فرزند
تور,فریدون,فرزند
ایرج,فریدون,فرزند
ارنواز,جمشید,فرزند
شهرناز,جمشید,فرزند
نعمان,منذر,فرزند
اسفندیار,گشتاسپ,فرزند
فرود,سیاوش,فرزند
فرود,جریره,فرزند
سیاوش,خویش گرسیوز,فرزند
کی خسرو,سیاوش,فرزند
کی خسرو,فرنگیس,فرزند
جریره,پیران ویسه,فرزند
جریره,گلشهر,فرزند
افراسیاب تورانی,پشنگ,فرزند
گو سندلی,جمهور,فرزند
طلخند,مای طلخند,فرزند
طلخند,مادر طلخند و گو,فرزند
گو سندلی,مادر طلخند و گو,فرزند
گیو,گودرز,فرزند
بهرام گودرز,گودرز,فرزند
بیژن,گیو,فرزند
شغاد,زال زر,فرزند
نوش زاد,کسرا انوشیروان,فرزند
بهمن اسفندیار,اسفندیار,فرزند
رهام,گودرز,فرزند
گودرز,گشواد,فرزند
هوشنگ,سیامک,فرزند
سیامک,کیومرث,فرزند
تهمورث,هوشنگ,فرزند
گستهم نوذر,نوذر,فرزند
توس,نوذر,فرزند
نوذر,منوچهر,فرزند
زرسپ طوس,توس,فرزند
سرخه,افراسیاب تورانی,فرزند
هجیر,گودرز,فرزند
منوچهر,پشنگ (فریدون),فرزند
منوچهر,ماه آفرید(ایرج),فرزند
ضحاک,مرداس,فرزند
فریدون,فرانک,فرزند
زرسپ منوچهر,منوچهر,فرزند
پشنگ,زادشم,فرزند
کاووس,کی قباد,فرزند
کی آرش,کی قباد,فرزند
کی پشین,کی قباد,فرزند
فریبرز,کاووس,فرزند
سودابه,شاه هاماوران,فرزند
زواره,زال زر,فرزند
گستهم (سهراب),گژدهم,فرزند
شیده,افراسیاب تورانی,فرزند
برزین گرشاسب,جمشید,فرزند
اندمان توس,توس,فرزند
جهن,افراسیاب تورانی,فرزند
قراخان,افراسیاب تورانی,فرزند
گردگیر,افراسیاب تورانی,فرزند
گشتاسپ,لهراسپ,فرزند
زریر,لهراسپ,فرزند
سقیل,قیصر (گشتاسپ),فرزند
پشوتن,گشتاسپ,فرزند
پشوتن,کتایون,فرزند
اردشیر گشتاسب,گشتاسپ,فرزند
شیدسب,گشتاسپ,فرزند
گرامی پسر جاماسب,جاماسب پیشگو,فرزند
بستور,زریر,فرزند
نیوزار,گشتاسپ,فرزند
کهرم پسر بزرگ ارجاسپ,ارجاسب,فرزند
مهرنوش اسفندیار,اسفندیار,فرزند
نوش آذر اسفندیار,اسفندیار,فرزند
لهراسپ,اورند شاه,فرزند
اورند شاه,کی پشین,فرزند
شغاد,کنیزک (مادر شغاد),فرزند
ساسان پسر بهمن (اردشیر),بهمن اسفندیار,فرزند
ساسان ساسان بهمن,ساسان پسر بهمن (اردشیر),فرزند
داراب,همای بهمن,فرزند
دارای داراب,داراب,فرزند
اسکندر,داراب,فرزند
اسکندر,ناهید,فرزند
قیدروش,قیدافه,فرزند
دختر کید,کید,فرزند
ساسان پسر دارا,دارای داراب,فرزند
بهمن اردوان,اردوان,فرزند
شاهوی,هفتواد,فرزند
شاپور اردشیر,اردشیر بابکان,فرزند
اورمزد شاپور,شاپور اردشیر,فرزند
بهرام اورمزد,اورمزد شاپور,فرزند
بهرام بهرام,بهرام اورمزد,فرزند
بهرام بهرامیان,بهرام بهرام,فرزند
نرسی بهرام,بهرام بهرامیان,فرزند
اورمزد نرسی,نرسی بهرام,فرزند
مالکه,نوشه,فرزند
مالکه,طایر,فرزند
الیاس,مهراس,فرزند
جمشید,تهمورث,فرزند
ایرج,ارنواز,فرزند
سلم,شهرناز,فرزند
تور,شهرناز,فرزند
کیانوش (برادر آفریدون),فرانک,فرزند
کیانوش (برادر آفریدون),آبتین,فرزند
پرمایه (برادر آفریدون),آبتین,فرزند
پرمایه (برادر آفریدون),فرانک,فرزند
دختر ماه آفرید,ماه آفرید(ایرج),فرزند
دختر ماه آفرید,ایرج,فرزند
شاپور هوبه سنبا,مادر شاپور هوبه سنبا,فرزند
شاپور پسر شاپور هوبه سنبا,شاپور هوبه سنبا,فرزند
بهرام شاپور,شاپور پسر شاپور هوبه سنبا,فرزند
بهرام گور,یزدگرد بزه کار,فرزند
